EmployeeID,Age,Gender,EducationLevel,Department,JobRole,OfficeLocation,YearsAtCompany,TotalWorkingYears,MonthlyIncomeUSD,TrainingHoursLastYear,ProjectsCompletedLastCycle,LastPerformanceRating,SatisfactionScore,WorkLifeBalanceScore,OverTimeHoursLastMonth,PromotionLast2Years,AvgDailyCommuteTimeMin,TechnicalSkillScore,SoftSkillScore,EngagementSurveyScore,NumDirectReports,PerformanceScoreOutOf100,LeftCompanyWithinYear
EMP0001,47,Male,Master's,Finance,Specialist,HQ-CityA,5,14,5897,199,3,1,3.0,3,19,0,11.0,50,73,3.0,0,44,0
EMP0002,27,Male,High School,Marketing,Associate,Branch-CityC,5,8,5814,61,2,3,3.0,2,22,0,32.0,79,82,3.6,0,52,0
EMP0003,44,Female,Bachelor's,Finance,Senior Engineer,HQ-CityA,0,0,4421,120,8,3,3.0,2,20,0,3.0,47,81,3.4,0,40,0
EMP0004,50,Male,PhD,Operations,Analyst,Remote,29,40,10542,154,7,3,2.0,3,17,0,0.0,61,79,3.3,0,50,0
EMP0005,39,Male,Bachelor's,Sales,Director,Remote,8,20,7654,161,2,5,2.0,2,36,0,0.0,65,50,3.9,8,39,1
EMP0006,23,Female,PhD,Operations,Analyst,Remote,0,12,4913,44,6,3,2.0,2,12,0,0.0,88,71,3.0,0,50,1
EMP0007,42,Male,Bachelor's,Finance,Manager,Branch-CityB,3,7,5464,84,1,2,3.0,4,8,0,20.0,59,50,3.2,4,35,0
EMP0008,33,Male,Master's,Operations,Associate,Branch-CityC,10,21,9124,39,4,2,4.0,2,27,0,17.0,99,79,4.1,0,57,0
EMP0009,22,Male,Bachelor's,HR,Analyst,HQ-CityA,1,15,6378,48,0,3,2.0,4,42,0,10.0,98,65,3.2,0,45,0
EMP0010,27,Male,Bachelor's,Operations,Associate,Branch-CityC,1,15,7237,59,3,3,3.0,2,24,0,42.0,51,88,3.4,0,29,1
EMP0011,27,Male,Bachelor's,Operations,Director,Branch-CityB,1,9,6272,184,5,3,2.0,3,4,0,67.0,62,70,3.7,8,39,0
EMP0012,46,Female,Bachelor's,Finance,Specialist,HQ-CityA,3,7,5725,108,4,3,1.0,3,10,0,21.0,83,58,3.0,0,43,1
EMP0013,50,Male,Bachelor's,Engineering,Engineer,Branch-CityC,17,26,8565,28,4,2,3.0,3,8,0,73.0,52,56,2.8,0,41,0
EMP0014,36,Female,PhD,Engineering,Associate,Remote,8,10,6462,56,2,3,4.0,2,27,0,0.0,93,73,3.1,0,51,0
EMP0015,41,Female,Master's,Operations,Director,HQ-CityA,18,23,8642,130,6,4,3.0,4,9,0,11.0,68,64,3.4,8,43,0
EMP0016,57,Male,High School,Marketing,Specialist,HQ-CityA,8,12,7106,20,1,3,1.0,3,16,0,,45,64,4.8,0,35,0
EMP0017,57,Female,Master's,Finance,Manager,Branch-CityB,2,11,6718,80,2,4,3.0,3,25,0,26.0,85,71,4.0,9,50,0
EMP0018,57,Male,High School,HR,Director,Branch-CityC,16,18,7318,175,3,2,2.0,4,4,0,61.0,46,98,4.8,7,44,0
EMP0019,56,Female,Bachelor's,Operations,Manager,HQ-CityA,18,18,6766,128,4,4,2.0,1,26,0,16.0,50,88,3.6,2,47,1
EMP0020,29,Female,Bachelor's,Marketing,Director,Branch-CityB,4,6,5242,14,3,2,,4,29,0,31.0,52,90,4.5,4,39,0
EMP0021,49,Female,Bachelor's,Sales,Director,Remote,23,30,10078,133,1,3,2.0,1,17,0,0.0,55,88,3.8,6,52,0
EMP0022,33,Male,PhD,HR,Manager,Branch-CityC,12,13,5839,18,1,3,3.0,3,35,0,42.0,58,93,3.0,3,53,0
EMP0023,49,Female,High School,Sales,Associate,Branch-CityB,5,13,6634,45,1,3,2.0,2,23,0,64.0,62,73,3.0,0,40,0
EMP0024,53,Male,Master's,Finance,Director,HQ-CityA,11,24,7885,12,3,4,2.0,2,59,1,6.0,50,73,3.2,5,40,0
EMP0025,36,Male,Bachelor's,Finance,Engineer,Branch-CityB,4,8,5782,86,3,1,1.0,1,34,0,89.0,40,89,3.6,0,33,1
EMP0026,33,Female,Bachelor's,Marketing,Associate,Branch-CityB,11,11,6065,156,1,3,2.0,3,13,0,33.0,42,62,3.5,0,35,1
EMP0027,31,Female,Master's,Finance,Analyst,HQ-CityA,0,12,6983,67,4,2,3.0,2,27,0,44.0,74,93,3.0,0,54,0
EMP0028,26,Female,Master's,Finance,Analyst,HQ-CityA,1,7,4427,36,5,3,2.0,3,10,0,3.0,97,94,3.5,0,57,1
EMP0029,45,Female,High School,Engineering,Associate,Branch-CityC,7,14,7418,81,4,2,4.0,2,8,1,27.0,59,90,3.3,0,49,0
EMP0030,40,Female,Master's,Sales,Specialist,Branch-CityC,4,18,7174,39,4,4,3.0,3,5,0,59.0,99,96,3.0,0,64,0
EMP0031,25,Female,High School,Finance,Specialist,Branch-CityB,4,8,5669,29,6,4,2.0,3,8,0,44.0,79,80,4.6,0,56,0
EMP0032,51,Female,Bachelor's,Marketing,Analyst,Branch-CityB,18,29,8513,135,5,3,2.0,4,6,0,32.0,48,82,4.9,0,38,0
EMP0033,27,Female,Master's,Operations,Analyst,HQ-CityA,6,8,4953,38,5,4,2.0,2,24,0,13.0,55,85,4.1,0,48,0
EMP0034,58,Female,High School,Finance,Senior Engineer,Branch-CityC,34,40,10385,169,3,3,2.0,3,8,0,,53,50,4.4,0,37,0
EMP0035,27,Female,PhD,Engineering,Engineer,Branch-CityC,4,10,5553,22,2,4,3.0,2,22,0,41.0,63,51,4.6,0,42,0
EMP0036,34,Male,High School,Engineering,Specialist,Branch-CityC,6,19,7798,82,0,3,2.0,2,61,0,48.0,41,80,4.1,0,33,0
EMP0037,38,Female,Master's,Finance,Specialist,Branch-CityB,1,3,5014,90,4,3,1.0,2,11,0,46.0,46,78,3.1,0,37,1
EMP0038,55,Female,Bachelor's,Operations,Analyst,Branch-CityC,21,32,9362,36,5,3,2.0,3,46,0,34.0,78,60,4.1,0,43,1
EMP0039,33,Female,High School,Engineering,Analyst,Branch-CityC,8,13,5262,91,0,4,2.0,1,23,0,51.0,44,62,4.9,0,30,0
EMP0040,28,Male,Bachelor's,HR,Manager,Branch-CityC,3,7,5527,41,1,3,4.0,3,10,0,26.0,85,76,3.2,9,46,0
EMP0041,29,Female,Bachelor's,Marketing,Analyst,Branch-CityC,1,14,5966,24,2,4,3.0,2,20,0,49.0,46,81,3.3,0,46,0
EMP0042,55,Male,Master's,HR,Associate,Branch-CityB,8,19,8149,59,2,3,4.0,3,21,0,48.0,74,57,3.6,0,39,0
EMP0043,23,Male,Bachelor's,Sales,Associate,HQ-CityA,2,9,6343,48,3,4,4.0,2,33,0,13.0,62,75,4.8,0,50,0
EMP0044,56,Female,Bachelor's,Finance,Senior Engineer,Remote,23,34,7976,17,5,4,4.0,3,21,0,0.0,77,87,4.9,0,51,0
EMP0045,44,Male,Bachelor's,Finance,Analyst,HQ-CityA,14,21,6746,1,3,3,2.0,4,14,0,48.0,72,94,4.4,0,52,0
EMP0046,51,Male,Bachelor's,Sales,Engineer,Branch-CityB,21,34,10102,28,3,3,2.0,4,57,1,25.0,44,52,3.2,0,30,0
EMP0047,34,Male,Master's,Finance,Manager,HQ-CityA,11,17,7546,43,1,1,2.0,2,24,0,11.0,56,84,3.8,3,40,1
EMP0048,30,Female,Master's,HR,Engineer,HQ-CityA,1,8,4861,139,1,3,2.0,4,12,0,15.0,96,62,3.6,0,53,0
EMP0049,51,Female,Bachelor's,Operations,Director,Remote,27,32,9557,92,2,4,2.0,1,33,0,0.0,61,68,2.6,2,39,0
EMP0050,23,Female,Bachelor's,Engineering,Specialist,HQ-CityA,0,0,4759,53,0,3,2.0,1,33,0,31.0,82,80,3.3,0,39,1
EMP0051,51,Female,Bachelor's,Engineering,Engineer,HQ-CityA,17,22,7164,47,3,4,3.0,3,9,1,15.0,98,60,4.7,0,58,0
EMP0052,54,Male,Bachelor's,Sales,Manager,Branch-CityB,6,16,7319,172,4,3,3.0,4,34,0,40.0,68,58,3.1,3,48,0
EMP0053,57,Female,Master's,Engineering,Engineer,HQ-CityA,26,31,8682,58,3,3,4.0,2,8,0,35.0,66,91,4.7,0,54,0
EMP0054,39,Male,Bachelor's,Finance,Associate,HQ-CityA,7,20,7731,69,3,3,4.0,1,31,0,41.0,46,90,5.0,0,40,0
EMP0055,57,Male,Master's,Marketing,Specialist,HQ-CityA,16,21,9079,143,1,3,2.0,2,24,1,41.0,66,60,4.6,0,27,0
EMP0056,37,Female,PhD,Engineering,Specialist,Branch-CityC,5,16,8087,133,2,3,2.0,2,6,1,13.0,42,86,4.3,0,31,0
EMP0057,28,Female,Master's,Finance,Senior Engineer,Branch-CityB,2,9,5197,149,2,2,2.0,3,28,0,43.0,46,74,3.4,0,38,1
EMP0058,44,Female,Bachelor's,Operations,Specialist,HQ-CityA,4,8,5609,153,6,3,4.0,2,26,0,28.0,81,92,3.6,0,59,0
EMP0059,23,Male,High School,HR,Director,Branch-CityC,0,9,5555,84,3,3,3.0,1,25,1,23.0,69,77,5.0,3,51,0
EMP0060,54,Female,Master's,Engineering,Engineer,Branch-CityB,7,14,6724,73,4,3,4.0,1,16,0,8.0,49,89,3.2,0,52,0
EMP0061,32,Male,PhD,Engineering,Specialist,Branch-CityC,5,12,5621,46,4,1,4.0,4,8,0,33.0,54,72,2.9,0,37,0
EMP0062,58,Male,Bachelor's,Marketing,Analyst,Remote,29,31,8390,55,1,5,3.0,2,13,0,0.0,53,50,3.3,0,33,0
EMP0063,34,Other,PhD,Engineering,Manager,Branch-CityC,1,10,6031,33,1,2,2.0,1,11,0,35.0,66,96,3.0,9,52,0
EMP0064,30,Other,Bachelor's,HR,Specialist,Branch-CityB,7,8,5771,129,4,3,1.0,4,1,0,36.0,71,50,2.9,0,39,0
EMP0065,22,Female,Bachelor's,HR,Director,Branch-CityB,1,5,6182,13,4,3,2.0,2,29,0,18.0,85,98,3.0,2,61,1
EMP0066,32,Female,Bachelor's,Engineering,Senior Engineer,Branch-CityB,1,10,6279,176,1,5,2.0,2,36,0,,71,80,4.5,0,51,0
EMP0067,50,Male,Master's,Sales,Senior Engineer,HQ-CityA,18,20,8116,83,1,3,2.0,3,33,0,58.0,44,50,4.6,0,31,0
EMP0068,36,Female,Bachelor's,Marketing,Director,HQ-CityA,10,22,8719,88,0,3,3.0,4,6,0,46.0,46,91,4.8,4,47,0
EMP0069,34,Male,High School,Engineering,Senior Engineer,HQ-CityA,9,13,6557,88,0,4,4.0,2,40,0,31.0,82,53,3.3,0,45,0
EMP0070,32,Female,High School,Engineering,Senior Engineer,HQ-CityA,2,5,5081,115,1,1,1.0,1,2,0,9.0,81,99,3.2,0,71,1
EMP0071,34,Female,Bachelor's,Finance,Analyst,Branch-CityC,2,7,4964,171,3,4,3.0,2,15,0,18.0,81,50,4.3,0,40,0
EMP0072,52,Male,Bachelor's,Operations,Specialist,HQ-CityA,23,34,9226,198,5,4,4.0,3,20,0,2.0,42,57,3.6,0,35,0
EMP0073,51,Female,High School,Operations,Specialist,Remote,19,23,8349,21,5,2,2.0,3,32,0,0.0,52,94,4.1,0,47,0
EMP0074,35,Male,Bachelor's,Sales,Senior Engineer,Branch-CityB,14,23,9186,37,4,1,3.0,3,41,0,,52,95,3.5,0,50,0
EMP0075,54,Male,High School,Marketing,Director,Remote,27,32,7873,199,1,3,2.0,2,27,1,0.0,87,82,3.6,5,51,0
EMP0076,52,Female,Bachelor's,Finance,Specialist,HQ-CityA,11,18,6975,179,2,4,4.0,4,29,0,60.0,87,68,2.5,0,52,0
EMP0077,50,Female,PhD,Operations,Engineer,Branch-CityC,11,15,7546,153,3,3,4.0,4,17,0,21.0,52,97,5.0,0,45,0
EMP0078,40,Female,PhD,Engineering,Analyst,HQ-CityA,15,16,7098,32,5,2,4.0,2,27,0,46.0,60,71,3.5,0,41,0
EMP0079,40,Female,Bachelor's,Operations,Specialist,Branch-CityB,11,20,7099,29,2,3,1.0,2,8,0,54.0,80,86,4.0,0,45,1
EMP0080,45,Male,Master's,Sales,Manager,Branch-CityC,15,29,8028,53,3,5,2.0,2,8,0,17.0,93,90,3.5,5,54,1
EMP0081,57,Female,Bachelor's,Engineering,Director,Branch-CityC,28,33,9633,73,3,1,,3,4,1,35.0,60,61,4.6,3,39,0
EMP0082,28,Female,Bachelor's,Marketing,Specialist,HQ-CityA,5,17,7229,4,4,3,2.0,3,20,0,33.0,85,99,3.4,0,47,0
EMP0083,33,Male,PhD,Engineering,Engineer,Branch-CityB,11,14,6943,2,0,3,4.0,3,47,0,,54,53,4.8,0,34,0
EMP0084,35,Female,Master's,Sales,Analyst,HQ-CityA,1,9,4780,140,1,3,4.0,4,20,0,15.0,92,78,4.1,0,54,0
EMP0085,56,Male,Bachelor's,HR,Senior Engineer,HQ-CityA,11,24,6544,3,1,3,4.0,3,9,0,5.0,90,57,4.0,0,58,0
EMP0086,25,Male,Bachelor's,Operations,Associate,HQ-CityA,2,12,7673,84,4,3,3.0,2,34,0,49.0,67,56,3.0,0,41,0
EMP0087,46,Female,Bachelor's,Operations,Engineer,Branch-CityB,15,26,8503,111,6,4,3.0,3,7,0,15.0,41,73,2.9,0,36,0
EMP0088,59,Male,PhD,Operations,Analyst,Branch-CityB,35,40,9790,133,3,3,3.0,1,9,0,43.0,94,74,3.8,0,59,0
EMP0089,36,Male,High School,Sales,Director,Branch-CityC,15,29,8966,22,4,4,4.0,2,13,0,,77,89,3.7,3,51,0
EMP0090,56,Female,High School,Operations,Associate,Branch-CityB,24,26,10382,167,4,3,4.0,3,24,1,12.0,67,77,3.4,0,55,0
EMP0091,40,Female,Bachelor's,Finance,Specialist,HQ-CityA,8,8,6157,119,3,3,2.0,1,3,0,,50,61,2.7,0,39,1
EMP0092,47,Male,Bachelor's,Engineering,Associate,Branch-CityB,1,11,6420,29,1,3,3.0,3,28,0,56.0,58,88,4.7,0,44,0
EMP0093,30,Male,High School,Marketing,Engineer,Branch-CityB,9,18,5829,84,3,3,4.0,2,3,0,1.0,70,52,3.7,0,39,0
EMP0094,50,Male,Master's,Engineering,Senior Engineer,HQ-CityA,27,27,7979,185,3,3,2.0,2,9,0,50.0,56,54,3.7,0,37,0
EMP0095,23,Female,Bachelor's,Marketing,Specialist,Remote,2,15,5818,9,3,3,2.0,3,36,0,0.0,93,75,2.6,0,59,0
EMP0096,53,Male,Bachelor's,Marketing,Associate,HQ-CityA,6,11,6891,40,1,5,2.0,2,2,1,3.0,69,93,3.2,0,58,0
EMP0097,30,Female,PhD,Operations,Engineer,Branch-CityC,8,9,5796,82,3,3,4.0,3,27,0,20.0,65,84,3.1,0,43,0
EMP0098,44,Female,Master's,HR,Specialist,HQ-CityA,1,6,6385,147,4,2,3.0,3,2,1,48.0,40,96,4.2,0,39,0
EMP0099,42,Female,PhD,Sales,Specialist,Branch-CityC,7,8,5138,159,6,3,3.0,3,11,0,74.0,70,93,3.5,0,66,0
EMP0100,25,Female,High School,Operations,Senior Engineer,HQ-CityA,3,7,5611,88,3,3,3.0,2,14,0,24.0,66,85,3.0,0,46,0
EMP0101,27,Female,Master's,Engineering,Senior Engineer,Branch-CityB,2,9,5650,130,6,3,4.0,2,4,0,27.0,56,82,4.1,0,44,0
EMP0102,43,Female,High School,Sales,Senior Engineer,HQ-CityA,19,28,8553,110,2,4,3.0,2,24,1,59.0,43,96,4.9,0,50,0
EMP0103,47,Other,Bachelor's,Sales,Specialist,Branch-CityC,4,9,6032,74,4,3,3.0,2,6,0,,87,53,3.8,0,51,0
EMP0104,38,Other,Master's,Engineering,Manager,Remote,13,27,8965,34,2,3,3.0,3,24,0,0.0,45,89,3.8,8,42,0
EMP0105,30,Other,PhD,Engineering,Director,Remote,6,9,5765,77,2,5,2.0,2,5,0,0.0,75,87,3.1,6,52,0
EMP0106,39,Female,High School,Marketing,Analyst,Branch-CityC,3,12,5474,106,3,4,3.0,4,8,0,31.0,97,69,2.9,0,51,0
EMP0107,33,Female,Master's,Sales,Engineer,Remote,1,14,6967,152,5,5,3.0,2,34,0,0.0,41,89,2.6,0,34,0
EMP0108,32,Female,Bachelor's,HR,Engineer,Remote,1,7,7175,96,6,3,3.0,3,19,0,0.0,98,63,3.8,0,55,0
EMP0109,54,Male,Bachelor's,Marketing,Director,HQ-CityA,9,12,6584,52,1,5,4.0,2,45,0,43.0,49,98,4.1,4,43,0
EMP0110,23,Female,Bachelor's,Marketing,Specialist,HQ-CityA,1,8,5633,59,6,4,4.0,3,13,0,20.0,53,69,4.9,0,42,0
EMP0111,49,Male,Bachelor's,HR,Analyst,Branch-CityB,0,3,4309,31,4,4,3.0,3,23,0,21.0,70,96,3.3,0,44,0
EMP0112,33,Male,Bachelor's,HR,Engineer,Branch-CityC,10,24,6419,64,3,4,3.0,2,17,1,54.0,43,87,4.6,0,38,0
EMP0113,26,Female,High School,Sales,Associate,Branch-CityB,2,3,5020,24,3,4,2.0,3,19,0,33.0,66,73,4.9,0,42,1
EMP0114,44,Male,Bachelor's,Engineering,Associate,Remote,6,6,5677,53,0,4,3.0,3,10,0,0.0,44,94,3.4,0,34,0
